;Priezvisko;Meno;Email;Stredná škola;Stredná škola (adresa);Bydlisko - ulica;PSČ;Bydlisko - obec
1;Abrahám;Štefan;email1@gmail.com;Gymnázium Martina Kukučína;Revúca, V. Clementisa 1166/21, 05001;Revúcka Lehota 1;4918;Revúcka Lehota
2;Adamec;Albert;email2@gmail.com;Stredná odborná škola strojnícka;Považská Bystrica, Športovcov 341/2, 01749;Sládkovičova 1;1701;Považská Bystrica
3;Andrášová;Adela;email3@gmail.com;Súkromná stredná odborná škola;Poprad, Ul. 29. augusta 4812, 05801;Tatranská Lomnica 1;5960;Tatranská Lomnica
4;Baran;Adrián;email4@gmail.com;Stredná priemyselná škola elektrotechnická;Bratislava-Petržalka, Hálova 16, 85101;Bartókova 1;81102;Bratislava
5;Bašková;Eunika;email5@gmail.com;Gymnázium arm. gen. Ludvíka Svobodu;Humenné, Komenského 4, 06601;Partizánska 1;6601;Humenné
6;Beňová;Ester;email6@gmail.com;Gymnázium Antona Bernoláka;Námestovo, Ulica mieru 307/23, 02901;Novoť 1;2955;Novoť
7;Bernolák;Ľubomír;email7@gmail.com;Stredná priemyselná škola elektrotechnická;Bratislava-Petržalka, Hálova 16, 85101;Wolkrova 1;85101;Bratislava - Petržalka
8;Bernolák;Norbert;email8@gmail.com;Gymnázium;Myjava, Jablonská 5, 90701;Poriadie 1;90622;Poriadie
9;Bilek;Jozef;email9@gmail.com;Stredná priemyselná škola;Dubnica nad Váhom, Obrancov mieru 343/1, 01841;Neporadza 1;91326;Neporadza
10;Boreková;Iveta;email10@gmail.com;Stredná odborná škola polytechnická;Humenné, Štefánikova 1550/20, 06601;Puškinova 1;9303;Vranov nad Topľou
11;Bóriková;Enna;email11@gmail.com;Gymnázium;Vranov nad Topľou, Dr. C. Daxnera 88/3, 09380;Lúčna 1;9301;Vranov nad Topľou
12;Cesnaková;Natália;email12@gmail.com;Stredná priemyselná škola elektrotechnická;Bratislava-Petržalka, Hálova 16, 85101;Hostáď 1;93036;Čečínska Potôň
13;Dávidová;Karina;email13@gmail.com;Stredná priemyselná škola elektrotechnická;Bratislava-Petržalka, Hálova 16, 85101;Dolná 1;90051;Zohor
14;Debnárová;Alana;email14@gmail.com;Spojená škola-Stredná odborná škola technická;Prešov, Ľ. Podjavorinskej 22, 08005;L. Novomeského 1;8001;Prešov
15;Devečka;Koloman;email15@gmail.com;Stredná odborná škola obchodu a služieb;Nové Mesto nad Váhom, Piešťanská 2262/80, 91501;Ivanovce 1;91305;Ivanovce
16;Doležalová;Zoja;email16@gmail.com;Gymnázium;Považská Bystrica, Školská 234/8, 01701;Riečna 1;2001;Hrabovka
17;Dorko;Tibor;email17@gmail.com;Gymnázium Ľudovíta Štúra;Zvolen, Hronská 1467/3, 96049;Neresnická 1;96261;Dobrá Niva
18;Droppa;Miloslav;email18@gmail.com;Gymnázium;Vranov nad Topľou, Dr. C. Daxnera 88/3, 09380;Vyšný Žipov 1;9433;Vyšný Žipov
19;Dudiková;Iveta;email19@gmail.com;Stredná priemyselná škola elektrotechnická;Bratislava-Petržalka, Hálova 16, 85101;Hraničiarska 1;85110;Bratislava - Čunovo
20;Ďuricová;Olívia;email20@gmail.com;Gymnázium Pavla Horova;Michalovce, Masarykova 1, 07179;Hradská 1;7215;Budkovce
21;Ďurka;Svetozár;email21@gmail.com;Stredná priemyselná škola elektrotechnická;Bratislava-Petržalka, Hálova 16, 85101;Jasovská 1;85107;Bratislava
22;Ďurová;Jela;email22@gmail.com;Gymnázium;Vranov nad Topľou, Dr. C. Daxnera 88/3, 09380;Puškinova 1;9303;Čemerné
23;Fajnor;Bohumil;email23@gmail.com;Gymnázium;Stropkov, Konštantínova 64, 09101;Breznica 1;9101;Stropkov
24;Gál;Marcel;email24@gmail.com;Gymnázium;Vranov nad Topľou, Dr. C. Daxnera 88/3, 09380;Majerovce 1;9409;Majerovce
25;Gavenda;Bohuš;email25@gmail.com;Gymnázium Ľudovíta Štúra;Zvolen, Hronská 1467/3, 96049;Ľ. Štúra 1;96001;Zvolen
26;Gavendová;Sláva;email26@gmail.com;Gymnázium Milana Rúfusa;Žiar nad Hronom, J. Kollára 2, 96501;Janova Lehota 1;96624;Janova Lehota
27;Greguš;Mikuláš;email27@gmail.com;Spojená škola cirkevná-Gymnázium sv. Cyrila a Metoda;Humenné, Duchnovičova 24, 06601;Ľubiša 1;6711;Ľubiša
28;Habdušová;Elvíra;email28@gmail.com;Gymnázium;Bratislava-Ružinov, Metodova 2, 82108;Konopná 1;90025;Čierna Voda
29;Hagarová;Margita;email29@gmail.com;Gymnázium;Ružomberok, Š. Moyzesa 21, 03401;Vavra Šrobára 1;3401;Ružomberok
